"Date"	"Capital"	"DD"	"CapitalMAX"
"2016-12-12 00:00:00"	100000	0	NaN
"2016-12-13 00:00:00"	102772	0	NaN
"2016-12-14 00:00:00"	106837	0	NaN
"2016-12-15 00:00:00"	107507	0	NaN
"2016-12-16 00:00:00"	107864	0	NaN
"2016-12-19 00:00:00"	107308	0.94	NaN
"2016-12-20 00:00:00"	108367	0	NaN
"2016-12-21 00:00:00"	109982	0.27	NaN
"2016-12-22 00:00:00"	109230	0.99	NaN
"2016-12-23 00:00:00"	108794	1.38	NaN
"2016-12-26 00:00:00"	109389	0.84	NaN
"2016-12-27 00:00:00"	110787	0	110787
"2016-12-28 00:00:00"	111985	0.03	112017
"2016-12-29 00:00:00"	111767	0.53	112363
"2016-12-30 00:00:00"	113179	0.28	113500
"2017-01-03 00:00:00"	112629	0.77	113500
"2017-01-04 00:00:00"	115884	0	115884
"2017-01-05 00:00:00"	118297	0.33	118684
"2017-01-06 00:00:00"	119513	0.3	119875
"2017-01-09 00:00:00"	119050	0.63	119875
"2017-01-10 00:00:00"	119014	0.72	119875
"2017-01-11 00:00:00"	125070	0.00	125070
"2017-01-12 00:00:00"	124755	0.63	125548